,confirmed,total_dead,recovered
06-28-2020,6070,143,1971
06-27-2020,5811,141,1936
06-26-2020,5533,137,1905
06-25-2020,5384,132,1857
06-24-2020,5206,130,1823
06-23-2020,4952,128,1782
06-22-2020,4797,125,1680
06-21-2020,4738,123,1607
06-20-2020,4478,121,1586
06-19-2020,4374,119,1550
06-18-2020,4257,117,1459
06-17-2020,4044,107,1353
06-16-2020,3860,105,1328
06-15-2020,3727,104,1286
06-14-2020,3594,103,1253
06-13-2020,3457,100,1221
06-12-2020,3305,96,1164
06-11-2020,3215,92,1092
06-10-2020,3094,89,1048
06-09-2020,2989,88,873
06-08-2020,2872,85,849
06-07-2020,2767,84,752
06-06-2020,2600,83,706
06-05-2020,2474,79,643
06-04-2020,2340,78,592
06-03-2020,2216,74,553
06-02-2020,2093,71,499
06-01-2020,2021,69,482
05-31-2020,1962,64,478
05-30-2020,1888,63,464
05-29-2020,1745,62,438
05-28-2020,1618,58,421
05-27-2020,1471,55,408
05-26-2020,1348,52,405
05-25-2020,1286,52,402
05-24-2020,1214,51,383
05-23-2020,1192,50,380
05-22-2020,1161,50,380
05-21-2020,1109,50,375
05-20-2020,1029,50,366
05-19-2020,963,50,358
05-18-2020,912,50,336
05-17-2020,887,50,313
05-16-2020,830,50,301
05-15-2020,781,45,284
05-14-2020,758,42,284
05-13-2020,737,40,281
05-12-2020,715,36,259
05-11-2020,700,33,251
05-10-2020,672,32,239
05-09-2020,649,30,207
05-08-2020,621,29,202
05-07-2020,607,29,197
05-06-2020,582,26,190
05-05-2020,535,24,182
05-04-2020,490,24,173
05-03-2020,465,24,167
05-02-2020,435,22,152
05-01-2020,411,21,150
04-30-2020,396,17,144
04-29-2020,384,15,129
04-28-2020,374,14,124
04-27-2020,363,14,114
04-26-2020,355,14,106
04-25-2020,343,14,98
04-24-2020,336,14,94
04-23-2020,320,14,89
04-22-2020,303,14,74
04-21-2020,296,14,74
04-20-2020,281,14,69
04-19-2020,270,14,67
04-18-2020,262,12,60
04-17-2020,246,11,53
04-16-2020,234,11,53
04-15-2020,225,10,53
04-14-2020,216,9,41
04-13-2020,208,9,40
04-12-2020,197,8,25
04-11-2020,191,7,24
04-10-2020,189,7,22
04-09-2020,184,7,12
04-08-2020,179,6,9
04-07-2020,172,6,7
04-06-2020,158,6,4
04-05-2020,142,4,4
04-04-2020,126,4,4
04-03-2020,122,4,4
04-02-2020,110,3,4
04-01-2020,81,1,3
03-31-2020,59,1,1
03-30-2020,50,1,1
03-29-2020,42,1,1
03-28-2020,38,1,1
03-27-2020,31,1,1
03-26-2020,31,1,1
03-25-2020,28,0,1
03-24-2020,25,0,0
03-23-2020,16,0,0
03-22-2020,15,0,0
03-21-2020,7,0,0
03-20-2020,7,0,0
03-19-2020,7,0,0
03-18-2020,3,0,0
03-17-2020,3,0,0
03-16-2020,3,0,0
03-15-2020,3,0,0
03-14-2020,1,0,0
03-13-2020,1,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
